c-return in script/rails/12 set_trace_func Kernel
line in script/rails/13  
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/249 require ActiveSupport::Dependencies::Loadable
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/250 require ActiveSupport::Dependencies::Loadable
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/251 require ActiveSupport::Dependencies::Loadable
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/232 load_dependency ActiveSupport::Dependencies::Loadable
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/233 load_dependency ActiveSupport::Dependencies::Loadable
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/307 load? ActiveSupport::Dependencies
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/308 load? ActiveSupport::Dependencies
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/core_ext/module/attribute_accessors.rb/10 mechanism ActiveSupport::Dependencies
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/core_ext/module/attribute_accessors.rb/11 mechanism ActiveSupport::Dependencies
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/core_ext/module/attribute_accessors.rb/12 mechanism ActiveSupport::Dependencies
c-call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/308 == Symbol
c-return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/308 == Symbol
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/309 load? ActiveSupport::Dependencies
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/core_ext/module/attribute_accessors.rb/10 constant_watch_stack ActiveSupport::Dependencies
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/core_ext/module/attribute_accessors.rb/11 constant_watch_stack ActiveSupport::Dependencies
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/core_ext/module/attribute_accessors.rb/12 constant_watch_stack ActiveSupport::Dependencies
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/90 watching? ActiveSupport::Dependencies::WatchStack
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/91 watching? ActiveSupport::Dependencies::WatchStack
c-call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/91 empty? Array
c-return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/91 empty? Array
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/92 watching? ActiveSupport::Dependencies::WatchStack
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/236 load_dependency ActiveSupport::Dependencies::Loadable
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/251 require ActiveSupport::Dependencies::Loadable
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/backports-2.6.7/lib/backports/tools.rb/312 require_with_backports Kernel
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/backports-2.6.7/lib/backports/tools.rb/313 require_with_backports Kernel
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/backports-2.6.7/lib/backports/tools.rb/314 require_with_backports Kernel
c-call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/backports-2.6.7/lib/backports/tools.rb/314 require_without_backports Kernel
c-return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/backports-2.6.7/lib/backports/tools.rb/314 require_without_backports Kernel
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/backports-2.6.7/lib/backports/tools.rb/314 require_with_backports Kernel
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/241 load_dependency ActiveSupport::Dependencies::Loadable
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/252 require ActiveSupport::Dependencies::Loadable
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/activesupport-3.2.13/lib/active_support/dependencies.rb/253 require ActiveSupport::Dependencies::Loadable
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/323 write_pid Rack::Server
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/179 options Rack::Server
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/180 options Rack::Server
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/181 options Rack::Server
c-call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/323 exist? File
c-return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/323 exist? File
call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/179 options Rack::Server
line in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/180 options Rack::Server
return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/181 options Rack::Server
c-call in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/323 delete File
c-return in /Users/josherich/.rvm/gems/ruby-1.9.3-p392@ride/gems/rack-1.4.5/lib/rack/server.rb/323 delete File
